,critics,date,rating,rating1,rating_count,subtext,tconst,time,title,user
144,606 critic,"25 December 2013 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","774,777","
R
| 
                        3h
                    
|
Biography, 
Comedy, 
Crime
|
25 December 2013 (USA)

 ",tt0993846,"
                        3h
                    ",The Wolf of Wall Street (2013) ,"1,136 user"
145,73 critic,"18 December 1961 (Sweden)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.3/10 ","44,166","
Not Rated
| 
                        3h 6min
                    
|
Drama, 
War
|
18 December 1961 (Sweden)

 ",tt0055031,"
                        3h 6min
                    ",Judgment at Nuremberg (1961) ,174 user
146,203 critic,"4 January 2002 (USA)

","[<meta content=""PG-13"" itemprop=""contentRating""/>]","
8.2/10 ","607,417","
PG-13
| 
                        2h 15min
                    
|
Biography, 
Drama
|
4 January 2002 (USA)

 ",tt0268978,"
                        2h 15min
                    ",A Beautiful Mind (2001) ,"1,170 user"
147,525 critic,"17 March 2006 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","788,300","
R
| 
                        2h 12min
                    
|
Action, 
Drama, 
Thriller
|
17 March 2006 (USA)

 ",tt0434409,"
                        2h 12min
                    ",V for Vendetta (2005) ,"2,040 user"
148,132 critic,"13 March 1972 (USA)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.3/10 ","26,287","
Not Rated
| 
                        2h 16min
                    
|
Drama
|
13 March 1972 (USA)

 ",tt0046438,"
                        2h 16min
                    ",Tokyo Story (1953) ,121 user
149,226 critic,"12 January 2011 (France)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","79,841","
R
| 
                        2h 19min
                    
|
Drama, 
Mystery, 
War
|
12 January 2011 (France)

 ",tt1255953,"
                        2h 19min
                    ",Incendies (2010) ,155 user
150,363 critic,"9 January 2009 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","559,679","
R
| 
                        1h 56min
                    
|
Drama
|
9 January 2009 (USA)

 ",tt1205489,"
                        1h 56min
                    ",Gran Torino (2008) ,870 user
151,249 critic,"6 March 1998 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","534,872","
R
| 
                        1h 57min
                    
|
Comedy, 
Crime
|
6 March 1998 (USA)

 ",tt0118715,"
                        1h 57min
                    ",The Big Lebowski (1998) ,"1,026 user"
152,18 critic,"8 July 1977 (France)

","[<meta content=""PG"" itemprop=""contentRating""/>]","
8.5/10 ","29,120","
PG
| 
                        2h 57min
                    
|
Adventure, 
Biography, 
Drama
|
8 July 1977 (France)

 ",tt0074896,"
                        2h 57min
                    ",The Message (1976) ,110 user
153,139 critic,"23 February 1979 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","231,629","
R
| 
                        3h 3min
                    
|
Drama, 
War
|
23 February 1979 (USA)

 ",tt0077416,"
                        3h 3min
                    ",The Deer Hunter (1978) ,"1,025 user"
154,134 critic,"9 August 1996 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","467,209","
R
| 
                        1h 34min
                    
|
Drama
|
9 August 1996 (USA)

 ",tt0117951,"
                        1h 34min
                    ",Trainspotting (1996) ,512 user
155,144 critic,"12 April 1940 (USA)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.2/10 ","87,057","
Not Rated
| 
                        2h 10min
                    
|
Drama, 
Film-Noir, 
Mystery
|
12 April 1940 (USA)

 ",tt0032976,"
                        2h 10min
                    ",Rebecca (1940) ,274 user
156,200 critic,"5 April 1996 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","452,297","
R
| 
                        1h 38min
                    
|
Crime, 
Drama, 
Thriller
|
5 April 1996 (USA)

 ",tt0116282,"
                        1h 38min
                    ",Fargo (1996) ,816 user
157,156 critic,"17 January 1940 (USA)

","[<meta content=""G"" itemprop=""contentRating""/>]","
8.2/10 ","214,488","
G
| 
                        3h 58min
                    
|
Drama, 
History, 
Romance
|
17 January 1940 (USA)

 ",tt0031381,"
                        3h 58min
                    ",Gone with the Wind (1939) ,705 user
158,124 critic,"29 May 1954 (USA)

","[<meta content=""PG"" itemprop=""contentRating""/>]","
8.2/10 ","105,912","
PG
| 
                        1h 45min
                    
|
Crime, 
Film-Noir, 
Thriller
|
29 May 1954 (USA)

 ",tt0046912,"
                        1h 45min
                    ",Dial M for Murder (1954) ,261 user
159,96 critic,"1 November 1967 (USA)

","[<meta content=""PG"" itemprop=""contentRating""/>]","
8.2/10 ","119,553","
PG
| 
                        2h 6min
                    
|
Drama
|
1 November 1967 (USA)

 ",tt0061512,"
                        2h 6min
                    ",Cool Hand Luke (1967) ,262 user
160,288 critic,"26 March 2010 (USA)

","[<meta content=""PG"" itemprop=""contentRating""/>]","
8.2/10 ","482,900","
PG
| 
                        1h 38min
                    
|
Animation, 
Adventure, 
Family
|
26 March 2010 (USA)

 ",tt0892769,"
                        1h 38min
                    ",How to Train Your Dragon (2010) ,491 user
161,299 critic,"30 May 2003 (USA)

","[<meta content=""G"" itemprop=""contentRating""/>]","
8.2/10 ","688,368","
G
| 
                        1h 40min
                    
|
Animation, 
Adventure, 
Comedy
|
30 May 2003 (USA)

 ",tt0266543,"
                        1h 40min
                    ",Finding Nemo (2003) ,865 user
162,234 critic,"6 August 1999 (USA)

","[<meta content=""PG-13"" itemprop=""contentRating""/>]","
8.1/10 ","701,976","
PG-13
| 
                        1h 47min
                    
|
Drama, 
Mystery, 
Thriller
|
6 August 1999 (USA)

 ",tt0167404,"
                        1h 47min
                    ",The Sixth Sense (1999) ,"2,071 user"
163,511 critic,"6 May 2016 (USA)

","[<meta content=""PG-13"" itemprop=""contentRating""/>]","
8.2/10 ","261,458","
PG-13
| 
                        2h 27min
                    
|
Action, 
Adventure, 
Sci-Fi
|
6 May 2016 (USA)

 ",tt3498820,"
                        2h 27min
                    ",Captain America: Civil War (2016) ,"1,012 user"
